MOEA/D Results (n=50, 1000 instances)
Gen=500, T=3, Mutation=0.3, Seed=1234
Time: 2301.3s
Hypervolume: 70483.3294 (ref: f1=3289.66, f2=135.79)

    l1    l2     f1_mean    f1_std     f2_mean    f2_std
   0.0   1.0     2990.60    279.29        0.12      1.77
   0.1   0.9     2859.28    218.90       12.83      9.71
   0.2   0.8     2811.91    210.23       24.34     13.63
   0.3   0.7     2784.36    207.88       33.29     17.39
   0.4   0.6     2764.68    205.62       42.27     21.52
   0.5   0.5     2749.81    203.89       50.01     25.39
   0.6   0.4     2737.87    203.52       57.86     29.98
   0.7   0.3     2726.49    203.23       67.83     35.83
   0.8   0.2     2717.15    202.62       81.88     45.29
   0.9   0.1     2709.00    203.37      100.38     55.40
   1.0   0.0     2704.96    203.40      123.44     71.27
