DRL Results (n=100, 1000 instances)
Checkpoint: outputs/agh_100/train_raw_100_20260228T011907/epoch-85.pt
Val dataset: paretofront/shared_test_100.pkl

    l1     l2      f1_mean     f1_std      f2_mean     f2_std

   0.0    1.0      9764.05     524.70         2.92      13.39
   0.0    1.0      9749.04     527.13         3.76      14.58
   0.0    1.0      9730.81     529.23         4.66      16.50
   0.0    1.0      9709.17     531.29         5.70      18.59
   0.0    1.0      9682.85     535.32         6.86      20.98
   0.1    0.9      9654.95     537.45         8.66      22.37
   0.1    0.9      9622.27     541.10        10.64      24.63
   0.1    0.9      9582.18     544.14        14.11      28.80
   0.1    0.9      9536.97     548.28        17.46      32.12
   0.1    0.9      9486.98     551.90        21.34      36.32
   0.1    0.9      9434.18     556.81        25.68      39.26
   0.1    0.9      9369.53     561.87        30.48      42.05
   0.1    0.9      9301.36     564.24        36.22      46.63
   0.1    0.9      9227.81     570.41        42.55      51.14
   0.1    0.9      9156.54     577.23        49.32      55.95
   0.1    0.8      9079.34     581.36        57.37      59.93
   0.2    0.8      8995.58     579.00        66.09      65.24
   0.2    0.8      8909.98     581.38        76.03      69.02
   0.2    0.8      8820.83     585.95        87.11      73.93
   0.2    0.8      8730.57     585.34        95.21      76.14
   0.2    0.8      8641.11     583.10       107.38      81.09
   0.2    0.8      8550.28     583.60       120.50      86.72
   0.2    0.8      8456.44     585.10       134.87      94.14
   0.2    0.8      8360.12     582.58       151.90     100.02
   0.2    0.8      8265.79     580.33       167.69     106.10
   0.2    0.8      8170.05     574.67       184.97     111.35
   0.3    0.7      8075.54     573.47       204.73     117.69
   0.3    0.7      7982.98     574.24       222.97     124.77
   0.3    0.7      7891.51     574.51       245.71     129.69
   0.3    0.7      7800.79     564.63       271.08     137.65
   0.3    0.7      7705.36     559.89       298.34     143.75
   0.3    0.7      7613.28     556.73       324.85     150.58
   0.3    0.7      7517.71     555.27       354.18     157.14
   0.3    0.7      7426.70     543.12       381.96     167.08
   0.3    0.7      7342.30     538.89       413.17     174.87
   0.3    0.7      7261.51     528.65       441.74     178.54
   0.4    0.6      7185.50     520.33       472.93     183.41
   0.4    0.6      7112.30     515.41       502.40     185.42
   0.4    0.6      7030.12     512.16       531.83     187.72
   0.4    0.6      6959.11     503.66       562.41     194.90
   0.4    0.6      6891.63     494.66       597.14     200.85
   0.4    0.6      6825.47     492.15       631.74     203.18
   0.4    0.6      6760.77     479.78       665.34     206.59
   0.4    0.6      6708.48     473.07       694.16     211.22
   0.4    0.6      6655.70     462.68       723.55     216.27
   0.5    0.6      6605.99     454.33       753.89     216.66
   0.5    0.5      6557.27     445.22       780.59     221.40
   0.5    0.5      6515.20     435.01       809.26     220.91
   0.5    0.5      6475.98     426.65       836.03     222.44
   0.5    0.5      6442.81     423.23       860.66     223.67
   0.5    0.5      6408.29     415.27       891.32     225.58
   0.5    0.5      6379.25     411.56       915.06     229.23
   0.5    0.5      6356.18     406.11       940.58     229.76
   0.5    0.5      6330.78     400.34       962.48     232.67
   0.5    0.5      6312.81     393.51       987.08     234.34
   0.6    0.5      6292.74     392.05      1009.31     232.28
   0.6    0.4      6279.03     392.43      1029.83     237.72
   0.6    0.4      6263.05     388.46      1049.18     235.92
   0.6    0.4      6253.42     386.39      1068.53     237.63
   0.6    0.4      6245.00     380.65      1081.32     234.22
   0.6    0.4      6236.47     379.84      1100.92     233.43
   0.6    0.4      6229.00     380.87      1116.91     233.13
   0.6    0.4      6219.86     380.76      1130.19     232.82
   0.6    0.4      6213.40     378.40      1144.80     233.13
   0.6    0.4      6211.28     378.38      1159.04     234.09
   0.7    0.3      6207.18     378.49      1171.32     233.01
   0.7    0.3      6205.24     381.79      1185.02     229.16
   0.7    0.3      6203.19     378.61      1195.93     226.58
   0.7    0.3      6200.59     380.02      1205.53     226.19
   0.7    0.3      6198.06     378.69      1215.74     227.30
   0.7    0.3      6193.76     378.72      1225.38     225.48
   0.7    0.3      6195.69     380.84      1232.20     224.95
   0.7    0.3      6196.64     383.40      1237.93     225.73
   0.7    0.3      6193.44     381.94      1243.28     224.49
   0.7    0.3      6197.32     378.02      1247.79     224.39
   0.8    0.2      6196.46     374.06      1251.78     223.24
   0.8    0.2      6194.48     374.98      1253.71     224.47
   0.8    0.2      6196.50     375.50      1262.57     224.32
   0.8    0.2      6199.38     377.09      1265.65     226.22
   0.8    0.2      6199.34     378.56      1269.52     224.10
   0.8    0.2      6202.31     379.92      1269.62     223.91
   0.8    0.2      6204.79     378.88      1273.57     226.43
   0.8    0.2      6202.63     378.88      1275.70     225.60
   0.8    0.2      6202.23     381.26      1274.26     223.90
   0.8    0.2      6202.53     377.71      1275.63     224.13
   0.8    0.1      6203.92     378.41      1279.78     226.04
   0.9    0.1      6204.29     377.93      1279.52     225.69
   0.9    0.1      6205.03     378.57      1280.65     226.55
   0.9    0.1      6204.15     379.15      1282.51     227.27
   0.9    0.1      6207.49     376.80      1286.60     225.85
   0.9    0.1      6210.18     379.55      1288.93     227.04
   0.9    0.1      6209.38     378.94      1291.81     227.34
   0.9    0.1      6209.36     378.22      1291.16     227.36
   0.9    0.1      6209.29     375.72      1291.89     229.93
   0.9    0.1      6207.99     377.55      1293.38     230.54
   0.9    0.1      6208.97     376.76      1290.87     231.52
   1.0    0.0      6211.28     377.76      1288.41     231.33
   1.0    0.0      6210.24     375.20      1288.21     230.53
   1.0    0.0      6209.44     375.28      1288.36     230.70
   1.0    0.0      6211.78     375.50      1288.90     232.24
   1.0    0.0      6210.13     377.43      1287.25     235.34
