DRL Results (n=100, 1000 instances)
Checkpoint: outputs/agh_100/train_raw_100_200ep_20260228T162008/epoch-199.pt
Val dataset: paretofront/shared_test_100.pkl

    l1     l2      f1_mean     f1_std      f2_mean     f2_std

   0.0    1.0      8570.73     554.32        12.76      21.67
   0.0    1.0      8433.30     548.45        15.44      23.76
   0.0    1.0      8290.39     543.02        18.84      25.88
   0.0    1.0      8144.29     534.73        22.33      28.44
   0.0    1.0      8001.98     525.53        28.39      32.76
   0.1    0.9      7856.42     526.42        34.02      35.98
   0.1    0.9      7708.77     517.76        40.64      39.14
   0.1    0.9      7562.94     509.66        47.95      44.28
   0.1    0.9      7416.29     497.43        55.31      49.21
   0.1    0.9      7277.18     487.76        62.65      51.83
   0.1    0.9      7142.24     479.67        71.48      55.60
   0.1    0.9      7002.87     471.89        83.48      60.45
   0.1    0.9      6867.31     461.81        97.20      66.43
   0.1    0.9      6738.39     451.17       112.08      72.90
   0.1    0.9      6609.82     440.46       127.21      78.15
   0.1    0.8      6485.76     429.18       144.15      85.29
   0.2    0.8      6364.60     422.85       162.29      88.93
   0.2    0.8      6242.99     410.36       181.49      95.91
   0.2    0.8      6134.76     399.82       202.71     102.84
   0.2    0.8      6030.15     392.76       225.85     110.03
   0.2    0.8      5927.30     383.08       248.49     117.47
   0.2    0.8      5833.76     375.76       271.04     123.54
   0.2    0.8      5744.37     370.63       296.13     126.00
   0.2    0.8      5662.69     359.50       320.17     130.17
   0.2    0.8      5590.13     349.70       342.11     135.49
   0.2    0.8      5521.82     338.42       366.88     140.34
   0.3    0.7      5462.84     330.67       390.15     147.79
   0.3    0.7      5405.22     321.62       414.03     152.59
   0.3    0.7      5356.21     315.75       436.32     156.39
   0.3    0.7      5319.43     313.51       456.95     158.37
   0.3    0.7      5287.53     308.07       477.62     163.91
   0.3    0.7      5257.62     302.93       497.53     163.64
   0.3    0.7      5226.31     299.04       515.53     164.35
   0.3    0.7      5203.50     298.17       532.85     166.27
   0.3    0.7      5181.17     295.99       553.14     168.73
   0.3    0.7      5158.70     292.22       568.30     170.13
   0.4    0.6      5143.43     290.50       580.78     172.34
   0.4    0.6      5131.22     289.01       593.78     173.15
   0.4    0.6      5118.78     288.81       605.01     177.23
   0.4    0.6      5108.31     289.72       616.77     180.29
   0.4    0.6      5100.15     290.58       628.12     181.07
   0.4    0.6      5091.29     289.42       638.34     181.86
   0.4    0.6      5079.58     289.81       647.84     183.26
   0.4    0.6      5071.90     289.74       657.32     185.03
   0.4    0.6      5066.18     289.77       664.82     185.39
   0.5    0.6      5060.82     290.59       673.35     185.46
   0.5    0.5      5052.84     291.26       682.29     185.43
   0.5    0.5      5046.86     290.98       689.44     184.54
   0.5    0.5      5044.24     290.15       696.03     184.59
   0.5    0.5      5041.93     289.83       702.28     185.20
   0.5    0.5      5037.23     288.20       708.40     183.67
   0.5    0.5      5033.43     286.52       714.94     183.82
   0.5    0.5      5031.54     287.22       719.75     183.45
   0.5    0.5      5028.85     285.66       725.98     182.65
   0.5    0.5      5026.50     285.59       730.78     182.72
   0.6    0.5      5026.03     285.14       734.91     182.38
   0.6    0.4      5022.91     286.80       741.69     186.24
   0.6    0.4      5021.89     286.91       745.62     186.96
   0.6    0.4      5021.62     290.04       748.33     186.02
   0.6    0.4      5020.83     289.96       752.32     186.63
   0.6    0.4      5018.67     289.13       755.48     186.94
   0.6    0.4      5018.33     288.25       757.71     188.84
   0.6    0.4      5018.06     288.56       761.95     190.98
   0.6    0.4      5017.35     287.89       765.20     191.12
   0.6    0.4      5016.97     288.94       768.96     191.53
   0.7    0.3      5016.79     289.79       772.14     192.57
   0.7    0.3      5016.10     290.44       776.10     193.00
   0.7    0.3      5015.15     290.08       778.80     194.02
   0.7    0.3      5013.92     290.19       779.60     193.51
   0.7    0.3      5010.83     290.27       783.91     195.92
   0.7    0.3      5009.87     290.15       787.93     196.57
   0.7    0.3      5011.38     288.68       789.90     198.18
   0.7    0.3      5010.53     290.07       792.89     196.58
   0.7    0.3      5010.63     291.11       796.13     196.66
   0.7    0.3      5009.58     290.33       799.16     197.72
   0.8    0.2      5008.67     289.43       801.33     197.47
   0.8    0.2      5008.78     288.90       804.09     196.52
   0.8    0.2      5010.65     288.80       807.05     196.87
   0.8    0.2      5011.85     289.47       809.64     198.50
   0.8    0.2      5011.49     289.09       811.78     197.37
   0.8    0.2      5011.93     289.63       814.75     196.42
   0.8    0.2      5011.19     289.25       817.20     198.21
   0.8    0.2      5012.73     289.99       819.52     199.73
   0.8    0.2      5012.29     290.06       820.88     198.34
   0.8    0.2      5013.17     291.56       824.13     198.25
   0.8    0.1      5013.84     290.36       827.24     198.40
   0.9    0.1      5014.06     290.75       829.96     199.18
   0.9    0.1      5015.34     291.40       832.04     198.93
   0.9    0.1      5015.25     291.58       835.54     200.80
   0.9    0.1      5016.23     292.09       838.57     201.36
   0.9    0.1      5017.27     293.03       841.10     202.88
   0.9    0.1      5017.61     293.08       844.71     203.75
   0.9    0.1      5016.90     292.86       848.28     203.63
   0.9    0.1      5017.85     294.08       851.05     206.06
   0.9    0.1      5019.11     293.96       855.07     206.88
   0.9    0.1      5018.93     293.14       855.56     205.15
   1.0    0.0      5021.63     293.58       857.33     204.46
   1.0    0.0      5023.76     293.13       860.64     205.45
   1.0    0.0      5025.21     294.43       864.27     206.33
   1.0    0.0      5026.47     294.44       866.52     206.70
   1.0    0.0      5027.12     294.83       868.92     205.78
