 lambda1  lambda2    f1_mean     f1_std    f2_mean     f2_std
  0.0000   1.0000    5298.78     284.83       3.64       7.94
  0.0100   0.9900    5257.23     282.77       4.26       8.33
  0.0200   0.9800    5216.17     282.87       5.05       8.88
  0.0300   0.9700    5177.59     278.97       5.92       9.51
  0.0400   0.9600    5136.34     274.65       7.30      10.79
  0.0500   0.9500    5096.91     271.52       9.13      12.30
  0.0600   0.9400    5060.85     268.79      10.65      12.79
  0.0700   0.9300    5020.42     267.59      12.59      14.00
  0.0800   0.9200    4985.33     262.95      15.18      15.87
  0.0900   0.9100    4951.61     261.96      17.51      17.40
  0.1000   0.9000    4919.28     260.54      20.42      19.05
  0.1100   0.8900    4885.79     257.58      23.64      20.27
  0.1200   0.8800    4858.00     255.10      26.62      22.05
  0.1300   0.8700    4828.59     250.81      30.19      23.64
  0.1400   0.8600    4803.24     250.48      34.26      25.26
  0.1500   0.8500    4779.84     248.02      37.90      26.43
  0.1600   0.8400    4754.88     246.96      41.81      28.66
  0.1700   0.8300    4734.52     245.11      45.55      30.31
  0.1800   0.8200    4711.38     244.94      49.42      31.06
  0.1900   0.8100    4691.58     245.81      53.70      33.26
  0.2000   0.8000    4673.85     244.89      57.72      34.41
  0.2100   0.7900    4655.05     243.07      61.82      36.40
  0.2200   0.7800    4636.76     241.65      66.87      38.35
  0.2300   0.7700    4619.74     241.17      71.04      40.20
  0.2400   0.7600    4600.43     237.90      76.68      42.27
  0.2500   0.7500    4585.76     238.87      81.17      43.79
  0.2600   0.7400    4571.02     238.58      85.90      45.29
  0.2700   0.7300    4558.24     237.80      90.56      47.00
  0.2800   0.7200    4542.40     238.56      96.17      48.41
  0.2900   0.7100    4529.37     235.47     100.33      49.87
  0.3000   0.7000    4513.82     234.14     105.86      50.96
  0.3100   0.6900    4500.85     233.40     111.34      52.95
  0.3200   0.6800    4489.65     232.14     115.97      55.11
  0.3300   0.6700    4479.44     232.07     121.79      56.33
  0.3400   0.6600    4470.36     232.93     126.42      57.63
  0.3500   0.6500    4459.94     232.77     131.42      59.36
  0.3600   0.6400    4450.47     234.19     137.48      61.34
  0.3700   0.6300    4441.39     234.83     142.43      62.78
  0.3800   0.6200    4433.35     234.70     146.77      62.87
  0.3900   0.6100    4423.42     234.76     151.73      64.86
  0.4000   0.6000    4415.04     234.04     156.84      66.85
  0.4100   0.5900    4406.91     232.03     160.93      68.35
  0.4200   0.5800    4398.67     232.00     167.11      71.03
  0.4300   0.5700    4391.14     231.83     172.38      71.86
  0.4400   0.5600    4383.66     231.36     178.70      73.79
  0.4500   0.5500    4377.15     232.37     184.63      75.55
  0.4600   0.5400    4370.83     231.59     189.98      76.59
  0.4700   0.5300    4364.30     230.70     196.66      78.32
  0.4800   0.5200    4358.21     229.75     201.66      78.86
  0.4900   0.5100    4351.71     229.80     206.81      80.91
  0.5000   0.5000    4345.46     230.22     211.56      81.86
  0.5100   0.4900    4338.73     229.53     218.99      84.47
  0.5200   0.4800    4333.46     229.67     224.88      86.83
  0.5300   0.4700    4327.49     229.95     231.19      88.59
  0.5400   0.4600    4322.51     229.47     236.98      90.83
  0.5500   0.4500    4317.93     230.25     241.87      91.99
  0.5600   0.4400    4312.83     230.74     248.42      94.29
  0.5700   0.4300    4309.55     231.18     253.93      95.63
  0.5800   0.4200    4306.23     231.13     258.20      96.97
  0.5900   0.4100    4302.41     230.97     264.06      98.78
  0.6000   0.4000    4297.93     229.93     272.07     101.53
  0.6100   0.3900    4293.36     230.26     278.83     103.02
  0.6200   0.3800    4289.25     229.57     284.92     105.03
  0.6300   0.3700    4285.42     229.68     290.37     106.23
  0.6400   0.3600    4282.31     229.04     296.71     108.97
  0.6500   0.3500    4279.11     229.24     302.77     110.40
  0.6600   0.3400    4274.89     229.55     309.52     111.59
  0.6700   0.3300    4272.18     229.58     316.73     112.74
  0.6800   0.3200    4269.18     229.67     323.50     113.87
  0.6900   0.3100    4266.66     229.95     329.79     114.33
