DRL Results (n=50, 1000 instances)
Checkpoint: outputs/agh_50/train_raw_50_200ep_20260228T162007/epoch-99.pt
Val dataset: paretofront/shared_test_50.pkl

    l1     l2      f1_mean     f1_std      f2_mean     f2_std

   0.0    1.0      4776.04     372.61         1.03       5.56
   0.0    1.0      4749.99     372.00         1.40       6.60
   0.0    1.0      4719.41     371.65         1.97       7.74
   0.0    1.0      4683.09     372.78         2.77       9.79
   0.0    1.0      4644.27     370.12         3.27      10.31
   0.1    0.9      4601.38     370.34         4.59      12.82
   0.1    0.9      4553.71     372.82         6.00      15.46
   0.1    0.9      4501.70     371.37         7.98      17.90
   0.1    0.9      4444.92     369.14         9.89      20.48
   0.1    0.9      4382.79     371.33        12.52      23.31
   0.1    0.9      4317.82     369.03        15.22      26.46
   0.1    0.9      4248.84     367.80        18.52      29.43
   0.1    0.9      4177.56     366.74        22.19      32.21
   0.1    0.9      4108.35     363.62        26.97      36.41
   0.1    0.9      4037.25     363.33        32.37      40.43
   0.1    0.8      3966.84     359.01        37.02      43.24
   0.2    0.8      3894.16     357.03        43.38      47.08
   0.2    0.8      3819.85     350.78        50.62      52.07
   0.2    0.8      3750.80     345.13        58.62      55.47
   0.2    0.8      3681.99     335.34        66.26      59.11
   0.2    0.8      3620.12     328.91        73.80      62.11
   0.2    0.8      3557.71     322.20        82.60      65.70
   0.2    0.8      3500.88     316.35        91.71      68.75
   0.2    0.8      3444.80     308.63       100.11      72.76
   0.2    0.8      3394.44     300.50       108.05      74.29
   0.2    0.8      3347.81     288.98       117.41      76.71
   0.3    0.7      3307.02     283.07       126.54      77.90
   0.3    0.7      3268.94     280.58       134.02      81.50
   0.3    0.7      3233.03     275.34       141.38      82.55
   0.3    0.7      3203.57     271.88       149.55      85.54
   0.3    0.7      3175.56     266.61       157.40      88.49
   0.3    0.7      3153.44     263.43       164.83      89.35
   0.3    0.7      3133.35     260.56       170.08      90.28
   0.3    0.7      3113.31     256.51       175.38      90.73
   0.3    0.7      3094.71     254.29       180.84      91.99
   0.3    0.7      3080.40     251.30       184.93      93.26
   0.4    0.6      3067.07     250.39       190.45      94.51
   0.4    0.6      3054.77     248.99       194.29      94.48
   0.4    0.6      3047.50     246.99       197.53      95.27
   0.4    0.6      3036.38     246.04       200.90      95.89
   0.4    0.6      3029.62     245.64       204.75      97.23
   0.4    0.6      3021.27     245.09       207.48      97.71
   0.4    0.6      3014.82     244.38       209.92      98.80
   0.4    0.6      3010.93     244.41       212.65      98.57
   0.4    0.6      3005.63     244.71       216.08      99.03
   0.5    0.6      3000.97     242.27       218.20      98.87
   0.5    0.5      2997.17     240.29       218.96      99.48
   0.5    0.5      2992.73     238.76       220.76     100.10
   0.5    0.5      2989.78     237.44       221.38      99.37
   0.5    0.5      2987.12     237.31       223.03      99.50
   0.5    0.5      2984.59     236.50       223.68      99.08
   0.5    0.5      2982.00     236.30       225.16      99.85
   0.5    0.5      2980.33     235.64       225.55      99.03
   0.5    0.5      2977.46     234.89       227.32      98.91
   0.5    0.5      2976.53     234.69       228.54      99.84
   0.6    0.5      2974.90     234.41       229.10      99.79
   0.6    0.4      2973.67     234.56       229.79      99.60
   0.6    0.4      2972.09     236.26       230.57     100.39
   0.6    0.4      2971.52     236.37       231.63     101.62
   0.6    0.4      2971.33     237.34       232.24     101.54
   0.6    0.4      2971.19     236.19       232.98     102.20
   0.6    0.4      2970.01     236.26       233.03     102.60
   0.6    0.4      2969.73     235.96       233.87     103.05
   0.6    0.4      2969.30     235.95       234.77     102.82
   0.6    0.4      2969.86     235.31       235.94     103.21
   0.7    0.3      2970.32     235.89       235.46     102.82
   0.7    0.3      2970.93     236.20       236.10     103.76
   0.7    0.3      2969.85     236.14       236.11     103.77
   0.7    0.3      2968.70     234.71       237.25     103.76
   0.7    0.3      2969.24     234.46       237.77     104.14
   0.7    0.3      2968.31     234.10       238.83     104.82
   0.7    0.3      2969.14     233.63       238.83     104.53
   0.7    0.3      2968.86     233.34       239.12     104.68
   0.7    0.3      2969.33     232.64       239.16     104.26
   0.7    0.3      2969.90     233.21       240.06     103.54
   0.8    0.2      2970.52     233.97       239.17     102.83
   0.8    0.2      2970.73     233.68       239.29     102.58
   0.8    0.2      2971.56     232.68       239.69     102.21
   0.8    0.2      2971.36     232.54       239.78     102.39
   0.8    0.2      2970.80     233.06       239.54     102.05
   0.8    0.2      2970.15     233.61       239.72     102.56
   0.8    0.2      2969.76     233.90       239.37     102.63
   0.8    0.2      2970.14     233.71       239.01     102.71
   0.8    0.2      2968.95     234.00       239.77     103.59
   0.8    0.2      2969.12     233.78       240.21     103.52
   0.8    0.1      2969.96     234.01       240.24     103.53
   0.9    0.1      2969.81     234.08       239.39     103.41
   0.9    0.1      2969.85     233.35       239.49     103.47
   0.9    0.1      2970.05     233.42       239.53     104.10
   0.9    0.1      2968.79     233.87       239.61     104.43
   0.9    0.1      2968.22     233.93       239.84     104.56
   0.9    0.1      2968.93     234.75       239.81     104.77
   0.9    0.1      2969.49     234.98       239.93     105.13
   0.9    0.1      2970.33     235.28       239.60     105.03
   0.9    0.1      2970.53     234.96       239.99     105.24
   0.9    0.1      2970.51     234.49       240.09     105.41
   1.0    0.0      2969.75     234.64       240.74     105.88
   1.0    0.0      2970.55     234.70       240.44     106.30
   1.0    0.0      2971.85     233.80       240.82     106.67
   1.0    0.0      2972.48     233.81       240.42     106.65
   1.0    0.0      2973.88     234.00       240.69     106.93
