 lambda1  lambda2    f1_mean     f1_std    f2_mean     f2_std
  0.0000   1.0000    3081.65     242.40       3.15       7.06
  0.0100   0.9900    3065.32     240.98       3.72       7.79
  0.0200   0.9800    3048.70     240.76       4.23       8.37
  0.0300   0.9700    3032.50     237.42       5.00       9.15
  0.0400   0.9600    3015.59     234.05       5.96      10.38
  0.0500   0.9500    2998.20     231.64       7.25      12.23
  0.0600   0.9400    2983.99     230.40       8.33      13.31
  0.0700   0.9300    2969.40     228.12       9.57      14.76
  0.0800   0.9200    2953.33     226.43      10.94      15.57
  0.0900   0.9100    2937.13     224.35      12.54      16.92
  0.1000   0.9000    2919.96     222.48      14.31      18.20
  0.1100   0.8900    2906.92     219.49      15.59      18.68
  0.1200   0.8800    2891.38     218.43      17.44      20.07
  0.1300   0.8700    2876.93     217.08      19.93      21.13
  0.1400   0.8600    2862.94     215.28      22.25      22.53
  0.1500   0.8500    2850.21     213.29      24.59      23.77
  0.1600   0.8400    2837.76     213.13      27.23      25.66
  0.1700   0.8300    2826.87     211.83      29.61      27.09
  0.1800   0.8200    2815.36     209.99      32.51      29.42
  0.1900   0.8100    2806.84     207.35      34.38      30.49
  0.2000   0.8000    2798.71     208.91      36.13      31.62
  0.2100   0.7900    2790.75     207.71      38.39      31.99
  0.2200   0.7800    2783.55     206.89      40.96      32.94
  0.2300   0.7700    2775.71     207.62      43.45      34.05
  0.2400   0.7600    2768.80     206.84      45.79      34.50
  0.2500   0.7500    2762.61     206.83      47.81      35.82
  0.2600   0.7400    2755.95     207.31      50.03      36.59
  0.2700   0.7300    2750.54     206.22      52.53      37.47
  0.2800   0.7200    2745.07     205.98      55.06      39.07
  0.2900   0.7100    2740.38     204.75      57.31      40.45
  0.3000   0.7000    2736.34     204.52      59.43      41.13
  0.3100   0.6900    2731.42     203.20      61.37      41.72
  0.3200   0.6800    2727.46     202.81      63.38      42.52
  0.3300   0.6700    2723.92     203.29      65.30      42.99
  0.3400   0.6600    2720.54     203.54      67.03      43.12
  0.3500   0.6500    2717.67     203.48      68.67      43.85
  0.3600   0.6400    2714.64     203.03      70.95      44.91
  0.3700   0.6300    2711.16     202.75      72.63      45.96
  0.3800   0.6200    2708.07     202.60      74.52      47.30
  0.3900   0.6100    2704.84     202.07      76.81      49.38
  0.4000   0.6000    2700.96     201.44      79.02      50.28
  0.4100   0.5900    2698.15     201.09      81.11      51.49
  0.4200   0.5800    2696.07     200.48      82.47      52.34
  0.4300   0.5700    2693.53     200.74      84.49      53.65
  0.4400   0.5600    2690.79     199.85      86.99      54.29
  0.4500   0.5500    2687.79     199.77      89.30      55.05
  0.4600   0.5400    2686.19     200.06      91.10      55.67
  0.4700   0.5300    2684.51     200.37      93.14      56.69
  0.4800   0.5200    2682.25     199.83      95.11      56.97
  0.4900   0.5100    2679.98     199.98      97.55      58.99
  0.5000   0.5000    2679.00     200.13      99.52      59.66
  0.5100   0.4900    2676.90     200.02     101.34      60.14
  0.5200   0.4800    2675.36     200.17     102.90      61.34
  0.5300   0.4700    2674.40     200.42     104.86      62.49
  0.5400   0.4600    2672.45     199.81     106.40      62.50
  0.5500   0.4500    2671.11     199.54     107.67      62.99
  0.5600   0.4400    2669.94     198.99     109.97      64.10
  0.5700   0.4300    2668.59     198.57     111.90      64.57
  0.5800   0.4200    2667.23     198.41     113.60      64.89
  0.5900   0.4100    2666.32     198.18     114.83      65.43
  0.6000   0.4000    2665.22     197.66     116.67      66.37
  0.6100   0.3900    2663.68     197.83     119.05      67.19
  0.6200   0.3800    2662.87     198.36     121.10      67.81
  0.6300   0.3700    2661.75     198.15     123.44      68.93
  0.6400   0.3600    2660.45     198.61     125.29      69.71
  0.6500   0.3500    2659.53     199.37     127.08      70.27
  0.6600   0.3400    2657.96     199.59     129.00      70.81
  0.6700   0.3300    2656.95     199.91     130.87      71.32
  0.6800   0.3200    2655.54     199.77     132.72      71.99
  0.6900   0.3100    2654.83     200.04     135.10      73.49
